日期,地区,销售额,销量
2025-03-01,华东,2456.80,45
2025-03-02,华北,3120.50,62
2025-03-03,华南,1890.30,32
2025-03-04,西南,4520.20,78
2025-03-05,西北,2980.60,41
2025-03-06,华东,3650.40,56
2025-03-07,华北,2100.70,29
2025-03-08,华南,3890.10,68
2025-03-09,西南,2780.90,39
2025-03-10,西北,4120.30,72
2025-03-11,华东,2230.50,35
2025-03-12,华北,3450.80,59
2025-03-13,华南,2670.20,43
2025-03-14,西南,3980.60,65
2025-03-15,西北,2340.40,31
2025-03-16,华东,3760.70,58
2025-03-17,华北,2890.10,42
2025-03-18,华南,4210.90,71
2025-03-19,西南,2560.30,38
2025-03-20,西北,3280.50,53
