order_id,customer_id,product_id,quantity,order_date
O00001,C004,P001,44,2025-10-07
O00002,C000,P002,36,12-04-2025
O00003,C013,P015,11,2025/12/24
O00004,C013,P005,7,07-03-2025
O00005,C009,P002,6,10-10-2025
O00006,C006,P020,3,05/12/2025
O00007,C014,P003,41,06/07/2025
O00008,C012,P007,39,22/11/2025
O00009,C007,P008,45,13/10/2025
O00010,C001,P002,5,19-04-2025
O00011,C008,P011,30,03-15-2025
O00012,C012,P018,26,05/07/2025
O00013,C002,P005,10,18/11/2025
O00014,C007,P014,34,09-05-2025
O00015,C002,P001,18,11-25-2025
O00016,C001,P014,17,14/09/2025
O00017,C005,P004,13,03-20-2025
O00018,C015,P018,266,2025-09-08
O00019,C014,P012,16,2025-10-18
O00020,C013,P016,43,01-09-2025
O00021,C007,P017,49,20/12/2025
O00022,C011,P013,29,03/03/2025
O00023,C666,P011,5,2025-12-29
O00024,C002,P002,32,20-04-2025
O00025,C004,P019,13,2025-02-18
O00026,C008,P012,42,2025-11-27
O00027,C002,P888,29,2025/03/13
O00028,C015,P015,36,2025-02-20
O00029,C002,P018,11,2025/07/28
O00030,C003,P013,17,08-21-2025
O00031,C008,P018,4,24-10-2025
O00032,C666,P888,34,2025-03-22
O00033,C002,P003,16,2025-07-26
O00034,C010,P019,-9,03-08-2025
O00035,C004,P011,17,22/07/2025
O00036,C015,P010,30,15-11-2025
O00037,C009,P003,5,05-06-2025
O00038,C012,P015,42,2025-09-28
O00039,C011,P018,17,2025-03-01
O00040,C010,P005,44,11-21-2025
O00041,C014,P009,18,2025-01-23
O00042,C005,P005,46,07-08-2025
O00043,C012,P999,24,26-10-2025
O00044,C888,P005,3,03/07/2025
O00045,C009,P004,40,21/03/2025
O00046,C001,P006,27,09/12/2025
O00047,C001,P004,30,06-29-2025
O00048,C011,P008,5,05-23-2025
O00049,C014,P013,8,14/05/2025
O00050,C666,P009,21,12-08-2025
O00051,C010,P004,324,01-01-2025
O00052,C012,P018,28,02-05-2025
O00053,C005,P004,21,07-26-2025
O00054,C007,P007,40,10-19-2025
O00055,C004,P001,42,2025/06/14
O00056,C013,P007,11,2025-12-04
O00057,C014,P020,20,26/04/2025
O00058,C008,P002,30,01-08-2025
O00059,C004,P013,49,2025/02/24
O00060,C009,P017,30,2025/03/10
O00061,C013,P018,47,2025/09/16
O00062,C003,P018,17,05-07-2025
O00063,C004,P017,19,05-01-2025
O00064,C003,P018,46,2025-04-20
O00065,C007,P011,25,2025-10-27
O00066,C001,P019,25,03-08-2025
O00067,C015,P018,28,2025-09-06
O00068,C014,P013,40,2025-10-01
O00069,C001,P019,30,2025-04-04
O00070,C006,P011,18,08-04-2025
O00071,C666,P016,15,2025-11-29
O00072,C004,P002,179,03/05/2025
O00073,C004,P004,24,27-03-2025
O00074,C003,P004,2,09-06-2025
O00075,C012,P013,41,2025-05-05
O00076,C010,P010,37,01-22-2025
O00077,C888,P012,-4,2025-09-08
O00078,C014,P012,12,09-25-2025
O00079,C008,P018,18,15/06/2025
O00080,C008,P003,40,2025/12/09
O00081,C003,P016,17,06-24-2025
O00082,C009,P009,47,2025/07/28
O00083,C011,P008,2,02-17-2025
O00084,C010,P008,23,06-08-2025
O00085,C005,P015,21,03-03-2025
O00086,C012,P006,49,26-09-2025
O00087,C005,P004,1,29-12-2025
O00088,C009,P002,41,2025-09-09
O00089,C008,P019,4,2025/05/10
O00090,C002,P003,10,18-03-2025
O00091,C002,P003,39,13/11/2025
O00092,C008,P013,28,06-06-2025
O00093,C002,P020,14,2025-05-16
O00094,C003,P006,-3,19-12-2025
O00095,C012,P002,5,18/12/2025
O00096,C015,P019,15,28/11/2025
O00097,C000,P005,37,2025/05/28
O00098,C005,P010,6,2025-11-03
O00099,C001,P011,37,2025-10-28
O00100,C013,P009,42,08-15-2025
O00101,C014,P019,23,07-29-2025
O00102,C006,P004,43,25-07-2025
O00103,C006,P999,33,01-01-2025
O00104,C006,P002,29,27/01/2025
O00105,C008,P005,2,19-11-2025
O00106,C001,P006,8,2025-08-25
O00107,C012,P005,27,2025/09/05
O00108,C004,P018,9,02-05-2025
O00109,C013,P014,19,02-06-2025
O00110,C008,P016,36,2025/10/06
O00111,C012,P011,50,2025-07-30
O00112,C013,P016,42,2025/03/19
O00113,C010,P005,29,21-02-2025
O00114,C007,P001,5,08-29-2025
O00115,C014,P013,35,07-14-2025
O00116,C001,P016,44,28/05/2025
O00117,C013,P014,29,03-27-2025
O00118,C001,P002,10,06-05-2025
O00119,C002,P006,44,2025/05/04
O00120,C011,P005,1,08-27-2025
