id,income,occupation
21,8000.0,运营
USER_0102,25000.0,软件工程师
ID-80,20000.0,医生
U087,25000.0,护士
USER_0057,15000.0,销售
U086,12000.0,教师
ID-44,8000.0,
20,5000.0,运营
ID-131,12000.0,产品经理
USER_0030,12000.0,医生
U136,12000.0,市场专员
USER_0142,5000.0,律师
ID-50,15000.0,公务员
90,20000.0,护士
USER_0137,,自由职业
U038,20000.0,护士
USER_0061,15000.0,设计师
27,,公务员
ID-135,35000.0,自由职业
66,35000.0,医生
U051,12000.0,建筑师
ID-45,5000.0,运营
USER_0040,25000.0,自由职业
098,8000.0,会计师
127,12000.0,会计师
USER_0084,,建筑师
USER_0010,8000.0,翻译
U023,50000.0,翻译
ID-122,5000.0,律师
099,35000.0,自由职业
ID-81,15000.0,律师
064,25000.0,销售
060,25000.0,翻译
097,,护士
U073,12000.0,软件工程师
ID-126,50000.0,市场专员
U075,50000.0,公务员
58,5000.0,翻译
088,5000.0,会计师
U116,12000.0,自由职业
83,35000.0,教师
ID-82,15000.0,会计师
148,5000.0,销售
USER_0042,50000.0,教师
120,50000.0,产品经理
41,5000.0,运营
143,,市场专员
U146,20000.0,律师
009,25000.0,销售
134,35000.0,医生
103,25000.0,教师
106,5000.0,律师
USER_0039,5000.0,运营
USER_0036,,会计师
076,25000.0,
008,25000.0,销售
046,25000.0,医生
065,25000.0,自由职业
ID-124,12000.0,建筑师
USER_0128,,运营
U118,12000.0,教师
USER_0113,5000.0,会计师
U005,5000.0,护士
U095,5000.0,设计师
ID-48,35000.0,建筑师
37,50000.0,会计师
092,15000.0,会计师
ID-110,5000.0,建筑师
ID-12,20000.0,教师
ID-79,35000.0,翻译
USER_0077,50000.0,翻译
USER_0093,25000.0,医生
USER_0138,50000.0,设计师
140,20000.0,护士
114,35000.0,教师
USER_0071,12000.0,自由职业
ID-6,25000.0,教师
089,25000.0,运营
ID-25,20000.0,公务员
107,35000.0,医生
USER_0101,25000.0,公务员
121,25000.0,产品经理
USER_0104,20000.0,运营
147,8000.0,运营
USER_0111,25000.0,自由职业
U014,5000.0,医生
144,50000.0,
U063,8000.0,销售
ID-94,25000.0,律师
74,,产品经理
U033,50000.0,设计师
ID-96,50000.0,护士
109,12000.0,自由职业
ID-3,35000.0,设计师
ID-16,15000.0,教师
062,,公务员
29,35000.0,翻译
54,8000.0,会计师
ID-34,50000.0,销售
52,20000.0,市场专员
USER_0091,15000.0,教师
U011,8000.0,公务员
U024,50000.0,教师
ID-145,25000.0,
019,20000.0,翻译
ID-72,12000.0,市场专员
U133,25000.0,自由职业
U022,8000.0,销售
U115,15000.0,护士
USER_0004,5000.0,设计师
43,25000.0,公务员
112,12000.0,产品经理
078,8000.0,会计师
USER_0007,50000.0,自由职业
USER_0117,35000.0,建筑师
129,8000.0,医生
ID-55,8000.0,
USER_0017,25000.0,医生
125,12000.0,护士
U049,35000.0,自由职业
100,8000.0,自由职业
U130,20000.0,医生
U132,25000.0,
U059,25000.0,自由职业
ID-139,,会计师
U032,20000.0,医生
ID-150,8000.0,自由职业
U123,12000.0,医生
28,25000.0,建筑师
13,5000.0,建筑师
119,8000.0,软件工程师
141,20000.0,运营
U035,35000.0,产品经理
047,50000.0,翻译
31,20000.0,运营
ID-69,50000.0,销售
USER_0053,20000.0,公务员
056,,医生
USER_0026,35000.0,
USER_0108,15000.0,
